playerId,shortName,team,position,height,foot,minutesPlayed,goals,X_pass_mean,X_pass_std,Y_pass_mean,Y_pass_std,forward_passes,smart_passes,pass_end_z1,pass_end_z2,pass_end_z3,pass_end_z4,pass_end_z5,pass_end_z6,pass_end_z7,pass_end_z8,pass_end_z9,pass_reception_z1,pass_reception_z2,pass_reception_z3,pass_reception_z4,pass_reception_z5,pass_reception_z6,pass_reception_z7,pass_reception_z8,pass_reception_z9,dribble_z1,dribble_z2,dribble_z3,dribble_z4,dribble_z5,dribble_z6,dribble_z7,dribble_z8,dribble_z9,cross_z1,cross_z2,cross_z3,cross_z4,shot_z1,shot_z2,shot_z3,shot_z4,shot_wleft,shot_wright,shot_whead,defense_z1,defense_z2,defense_z3,defense_z4,defense_z5,defense_z6,defense_z7,defense_z8,defense_z9,defense_z10,defense_z11,defense_z12,clearances_per90,interceptions_per90,tackles_per90,loose_ball_won_per90,final_third_recovery_per90,air_success,headers_per90,ABCD,BACD,BCAD,BCDA,ABAB,BABA,ABAC,BABC,BCBA,ABCA,BACB,BCAB,ABCB,BACA,BCAC,flow_centrality
6513,Raul Garcia,Leganes,Defender,175,left,810,0,3.595197256,7.291249115,5.274442539,10.4846549,0.447761194,0.005076142,0.38071066,0.131979695,0.025380711,0.263959391,0.035532995,0.005076142,0.076142132,0.045685279,0.010152284,0.565934066,0.043956044,0,0.28021978,0.010989011,0,0.082417582,0.010989011,0.005494505,0.222222222,0,0,0.444444445,0,0,0,0,0,2,0.111111111,0.333333333,0,0.444444445,0,0,0.111111111,0.8,0,0.2,0.345238095,0.05952381,0,0.333333333,0.023809524,0.011904762,0.178571429,0,0,0.035714286,0.011904762,0,2.777777778,5.777777778,0.888888889,0.444444444,0.666666667,0.533333333,3.555555556,5.333333333,4,5.111111111,4.777777778,0.333333333,0.333333333,0.888888889,1.666666667,1.444444444,0.777777778,1.333333333,0.222222222,0.888888889,0.888888889,1.222222222,0.384135266
6684,Jony,Deportivo Alaves,Midfielder,179,left,105,0,2.610526316,6.330094848,4.589473684,11.35359605,0.291666667,0.08,0.04,0,0.04,0.4,0.04,0.04,0.16,0.12,0.16,0.081081081,0,0,0.405405405,0,0.081081081,0.324324324,0.027027027,0.081081081,0,0,0,2.4,0,0,3.6,0,0,4.285714286,0,7.714285714,0,0,0,0.857142857,0,0,1,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0,0.857142857,0,0.857142857,1.714285714,0,2.571428571,4.285714286,2.571428571,6,14.57142857,0,0,0.857142857,2.571428571,1.714285714,0.857142857,0.857142857,0.857142857,2.571428571,1.714285714,2.571428571,0.388235294
6914,Alex Alegria,Levante,Forward,189,right,301,0,1.693617021,4.547912278,2.489361702,6.766787736,0.23880597,0.041666667,0.020833333,0.145833333,0.104166667,0.166666667,0.104166667,0.1875,0.104166667,0.020833333,0.125,0.071428571,0.095238095,0.119047619,0.119047619,0.119047619,0.261904762,0.047619048,0.119047619,0.047619048,0,0,0,0,0,0,0,0,0.598006645,0,0,0.299003322,0,0.897009967,0.299003322,0,0.299003322,0.4,0.2,0.4,0,0,0.021276596,0.021276596,0.106382979,0.063829787,0.361702128,0.127659574,0.212765957,0.063829787,0,0.021276596,1.196013289,2.392026578,0.299003322,4.784053156,3.588039867,0.571428571,10.16611296,2.392026578,2.990033223,1.495016611,2.093023256,0,0,0.299003322,0.299003322,0.598006645,0,0,0,0.897009967,0,0,0.360077666
6950,Pablo Insua,Schalke 04,Defender,187,right,26,0,4.692307692,8.537999525,6.307692308,9.259091167,0.5,0,0,0.4,0.2,0,0,0.4,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,3.461538462,3.461538462,0,0,0,0.5,6.923076923,3.461538462,6.923076923,6.923076923,6.923076923,0,0,0,0,0,0,3.461538462,0,0,0,0,0
7302,Albentosa,Deportivo La Coruna,Defender,192,right,540,0,6.716216216,9.581090611,14.05405405,17.04822738,0.68442623,0,0.229357798,0.183486239,0.366972477,0.027522936,0.018348624,0.128440367,0.004587156,0,0.013761468,0.006060606,0.339393939,0.606060606,0,0.006060606,0.03030303,0,0.012121212,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,1,0,0,0.097560976,0.243902439,0.12195122,0.048780488,0.12195122,0.219512195,0,0,0.097560976,0,0.048780488,0,4.166666667,6.166666667,1,2.333333333,0.166666667,0.666666667,6.833333333,10.33333333,12.83333333,13.33333333,9.5,0,0.333333333,4.666666667,1.5,2.166666667,2.833333333,1,1,2.666666667,3.833333333,1.166666667,0.361995575
7585,Manu Garcia,Deportivo Alaves,Midfielder,182,left,1070,1,3.753864447,7.285998472,6.596908442,11.98065663,0.475826972,0.003236246,0.132686084,0.174757282,0.110032362,0.174757282,0.106796117,0.1197411,0.051779935,0.022653722,0.048543689,0.186046512,0.217054264,0.093023256,0.19379845,0.131782946,0.131782946,0.011627907,0.031007752,0.003875969,0,0,0,0.098130841,0.294392523,0.098130841,0.098130841,0,0,0.252336449,0.252336449,0,0.08411215,0.420560748,0,0.252336449,0,0.5,0.25,0.25,0.036458333,0.036458333,0.083333333,0.229166667,0.151041667,0.130208333,0.130208333,0.0625,0.088541667,0.020833333,0.026041667,0.005208333,1.682242991,4.962616822,2.439252336,2.186915888,1.598130841,0.485294118,5.971962617,5.971962617,7.906542056,6.392523364,4.794392523,0.168224299,0.336448598,1.429906542,1.261682243,1.76635514,1.009345794,0.841121495,0.925233645,2.102803738,1.009345794,1.261682243,0.387542589
7623,Leo Baptistao,Espanyol,Forward,181,right,1493,5,2.194274029,5.146879284,3.552147239,8.190280612,0.264781491,0.019083969,0.072519084,0.103053435,0.15648855,0.083969466,0.091603053,0.221374046,0.026717557,0.095419847,0.099236641,0.033222591,0.059800664,0.136212625,0.093023256,0.106312292,0.235880399,0.056478405,0.089700997,0.189368771,0,0,0.387522725,0,0.258348484,0.258348484,0.387522725,0,0.258348484,0.120562626,0.783657066,0,0.783657066,0.602813128,0.241125251,0.783657066,0.66309444,0.131578947,0.684210526,0.184210526,0.016949153,0,0.062146893,0.06779661,0.056497175,0.248587571,0.073446328,0.073446328,0.186440678,0.028248588,0.056497175,0.129943503,0.843938379,2.411252512,1.386470194,1.627595445,2.531815137,0.406976744,6.148693905,3.978566644,3.315472204,3.315472204,5.666443403,0.060281313,0,0.120562626,0.723375754,0.663094441,0.542531815,0.42196919,0.843938379,0.843938379,0.42196919,1.024782317,0.294018032
7853,K. Gibbs,West Bromwich Albion,Defender,181,left,1430,0,4.957813998,8.763262163,5.919463087,9.816709622,0.392473118,0,0.307159353,0.083140878,0.016166282,0.307159353,0.055427252,0.011547344,0.113163972,0.050808314,0.004618938,0.415041783,0.019498607,0.002785515,0.38718663,0.005571031,0,0.158774373,0.008356546,0.002785515,0.356643356,0,0,0.475524475,0,0,0.118881119,0.118881119,0,1.699300699,0,0.881118881,0,0.125874126,0,0,0,1,0,0,0.383928571,0.044642857,0,0.321428571,0.026785714,0,0.133928571,0.008928571,0.008928571,0.053571429,0.017857143,0,1.762237762,4.783216783,1.132867133,1.321678322,0.881118881,0.348837209,4.468531469,6.86013986,5.853146853,5.979020979,6.608391608,0.377622378,0.062937063,1.447552448,1.951048951,1.132867133,0.566433566,1.195804196,1.132867133,1.132867133,1.762237762,2.013986014,0.376019938
7855,L. Koscielny,Arsenal,Defender,186,right,1075,0,7.115826702,9.15064806,13.57029178,15.60369714,0.680904523,0.002781641,0.136300417,0.230876217,0.180806676,0.07232267,0.080667594,0.228094576,0.006954103,0.004172462,0.027816412,0.094736842,0.235087719,0.415789474,0.021052632,0.024561404,0.196491228,0,0.001754386,0.010526316,0,0,0.08372093,0,0,0,0,0,0.167441861,0,0.502325581,0,0.08372093,0,0,0.16744186,0,0,0,1,0.137931034,0.112068966,0.146551724,0.077586207,0.086206897,0.198275862,0.017241379,0.051724138,0.137931034,0,0.017241379,0.017241379,3.6,8.120930233,2.511627907,2.344186047,0.753488372,0.539473684,7.702325581,22.35348837,25.61860465,24.19534884,15.73953488,0.837209302,0.502325581,7.702325581,3.265116279,5.609302326,4.018604651,3.76744186,2.176744186,7.534883721,6.948837209,2.427906977,0.4782543
7856,P. Mertesacker,0,Defender,198,right,270,1,7.846153846,9.203111421,15.85470085,16.82796822,0.8125,0,0.2,0.186666667,0.16,0.14,0.086666667,0.193333333,0,0.006666667,0.006666667,0.056074766,0.747663551,0.056074766,0,0.102803738,0.018691589,0,0.018691589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333334,0,0.333333334,0,0,0,1,0.055555556,0.055555556,0,0.166666667,0.222222222,0.277777778,0.055555556,0.111111111,0,0,0.055555556,0,2.666666667,6.333333333,1.666666667,1.333333333,0.666666667,0.848484848,14,22.66666667,22.66666667,21,12.33333333,0,0,2,4,7.333333333,2.333333333,2.666666667,2.333333333,8,1.333333333,4,0.441119403
7857,Miquel,Malaga,Defender,189,left,810,0,6.160427807,11.22780044,8.244206774,13.72481744,0.560810811,0,0.221238938,0.278761062,0.119469027,0.194690265,0.048672566,0.026548673,0.03539823,0.008849558,0.017699115,0.527607362,0.392638037,0,0.030674847,0.030674847,0,0.012269939,0.006134969,0,0.428571429,0.285714286,0,0.142857143,0,0,0,0,0,0.111111111,0,0,0,0.111111111,0,0.333333333,0,0,0.25,0.75,0.134146341,0.134146341,0.036585366,0.390243902,0.097560976,0.06097561,0.073170732,0.012195122,0,0.024390244,0.024390244,0.012195122,3.333333333,7,0.888888889,1.333333333,0.444444444,0.444444444,7.222222222,5.888888889,6.333333333,8.555555556,6.555555556,0.111111111,0.111111111,0.777777778,0.555555556,1.888888889,0.777777778,1.222222222,0.555555556,1.111111111,1,0.444444444,0.320303667
7858,B. Sagna,Benevento,Defender,176,right,450,0,5.622270742,7.378431641,9.746724891,12.73536575,0.543624161,0.003636364,0.010909091,0.247272727,0.334545455,0.007272727,0.047272727,0.272727273,0,0.021818182,0.032727273,0,0,0.658227848,0,0,0.291139241,0,0,0.050632911,0,0.2,0,0,0,0,0,0,0,0,1.2,0,0.4,0,0,0,0.2,0,1,0,0,0.093023256,0.302325581,0,0.023255814,0.372093023,0,0.046511628,0.139534884,0,0,0.023255814,1.8,4.8,1.4,2,0.8,0.814814815,8.2,16,18.2,18.6,15,1,0.6,6.8,4.6,4.4,2.6,3.2,2.6,6,6.8,4,0.576910814
7860,T. Vermaelen,Barcelona,Defender,183,left,795,0,7.642011834,8.384409417,15.72781065,15.54948693,0.680473373,0,0.225206612,0.299586777,0.097107438,0.23553719,0.074380165,0.026859504,0.004132231,0.004132231,0.002066116,0.663865546,0.18487395,0.00280112,0.120448179,0.022408964,0,0.00280112,0.00280112,0,0,0,0,0,0,0,0,0,0,0,0,0.226415094,0,0,0,0.339622642,0,0,0,1,0.177419355,0.14516129,0.016129032,0.338709677,0.096774194,0.016129032,0.129032258,0.048387097,0.032258065,0,0,0,2.037735849,4.981132075,2.037735849,0.679245283,0.226415094,0.72,3.962264151,19.47169811,22.0754717,24.45283019,15.8490566,1.358490566,0.566037736,4.981132075,3.509433962,5.660377358,3.169811321,1.245283019,1.132075472,6.113207547,4.981132075,3.056603774,0.439927265
7864,F. Coquelin,Valencia,Midfielder,178,right,583,0,5.426339286,8.178868554,9.933035714,13.54733115,0.515037594,0,0.153846154,0.136752137,0.145299145,0.132478632,0.132478632,0.136752137,0.051282051,0.004273504,0.051282051,0.165680473,0.224852071,0.112426036,0.153846154,0.165680473,0.112426036,0.029585799,0.01183432,0.023668639,0.432246998,0,0.432246998,0,0,0,0,0,0,0,0.154373928,0,0.154373928,0.154373928,0,0.154373928,0,0.5,0.5,0,0.069444444,0.055555556,0.083333333,0.236111111,0.111111111,0.138888889,0.125,0.083333333,0.083333333,0,0,0.013888889,1.389365352,5.403087479,1.389365352,2.006861063,0.617495712,0.565217391,5.557461407,11.42367067,12.04116638,10.18867925,7.409948542,0.308747856,0.308747856,2.315608919,1.852487136,2.006861063,1.234991424,1.080617496,1.080617496,3.550600343,2.161234991,2.469982847,0.396447301
7868,A. Oxlade-Chamberlain,Liverpool,Midfielder,175,right,747,2,4.474692202,7.719063912,8.041039672,13.7165418,0.377260982,0.01607717,0.057877814,0.109324759,0.163987138,0.054662379,0.144694534,0.180064309,0.07073955,0.054662379,0.106109325,0.029032258,0.061290323,0.183870968,0.041935484,0.164516129,0.322580645,0.019354839,0.032258065,0.14516129,0,0,0.311835578,0.155917788,0.311835578,0.779588944,0.311835578,0,0.779588944,0.120481928,1.686746988,0.240963855,1.445783133,1.445783132,0.240963855,0.120481928,0.602409639,0.1,0.85,0.05,0,0.035714286,0.035714286,0.035714286,0.047619048,0.333333333,0.047619048,0.047619048,0.226190476,0.011904762,0.047619048,0.130952381,0.602409639,5.903614458,1.204819277,2.168674699,2.530120482,0.277777778,3.855421687,12.1686747,12.77108434,11.3253012,15.06024096,0.602409639,0.240963855,3.012048193,3.614457831,2.65060241,1.56626506,1.325301205,2.289156627,4.096385542,3.373493976,3.373493976,0.412997085
7870,A. Ramsey,Arsenal,Midfielder,183,right,765,2,5.18061089,7.72494551,9.290836653,12.87363434,0.454166667,0.024570025,0.103194103,0.127764128,0.142506143,0.176904177,0.122850123,0.122850123,0.063882064,0.029484029,0.063882064,0.094387755,0.173469388,0.091836735,0.147959184,0.234693878,0.140306122,0.030612245,0.051020408,0.035714286,0.392156862,0.196078431,0.196078431,0.392156862,0.392156862,0.196078431,0,0,0,0.352941176,0.705882353,0.117647059,0.470588235,0.705882354,1.05882353,0.470588234,0.235294117,0.238095238,0.761904762,0,0.034482759,0.057471264,0.057471264,0.034482759,0.206896552,0.172413793,0.034482759,0.103448276,0.149425287,0,0.08045977,0.068965517,0.470588235,1.882352941,1.882352941,1.882352941,1.176470588,0.230769231,3.647058824,13.64705882,15.64705882,15.64705882,17.29411765,0.823529412,0.705882353,3.764705882,4.470588235,4,3.411764706,2.470588235,3.411764706,3.647058824,3.764705882,4.823529412,0.471150089
7873,J. Wilshere,West Ham United,Midfielder,172,left,515,0,4.388170055,7.11915573,9.096118299,12.49866673,0.477203647,0.006920415,0.138408304,0.152249135,0.079584775,0.14532872,0.183391003,0.103806228,0.058823529,0.048442907,0.044982699,0.105058366,0.206225681,0.105058366,0.085603113,0.307392996,0.101167315,0.023346304,0.054474708,0.011673152,0.21636616,0.21636616,1.08183079,0.649098475,1.514563105,0.21636616,0.21636616,0.21636616,0,0,0.174757282,0.174757282,0.174757282,0.873786408,0.174757281,0.174757281,0.349514563,0.666666667,0.333333333,0,0.037037037,0.037037037,0.111111111,0.12962963,0.055555556,0.148148148,0.166666667,0.148148148,0.092592593,0.037037037,0.018518519,0.018518519,0.349514563,2.446601942,1.747572816,0.873786408,1.223300971,0.5,2.796116505,13.45631068,17.12621359,17.12621359,14.15533981,0.524271845,0.699029126,3.844660194,3.669902913,3.844660194,3.669902913,1.048543689,1.922330097,4.718446602,4.368932039,2.621359223,0.43551108
7879,T. Walcott,Everton,Forward,176,right,537,0,2.729970326,5.753473925,4.715133531,10.74967508,0.317241379,0,0.008928571,0.0625,0.151785714,0.008928571,0.071428571,0.339285714,0.035714286,0.116071429,0.178571429,0,0,0.144,0.008,0.04,0.432,0,0.064,0.312,0,0,1.072625698,0,0,0.536312849,0,0.268156425,0.804469274,0,2.681564246,0,1.508379888,0,0.167597765,0.167597765,0.335195531,0,1,0,0,0.016666667,0.25,0,0.033333333,0.15,0,0.016666667,0.283333333,0.016666667,0.066666667,0.166666667,0.167597765,1.340782123,1.173184358,1.173184358,1.173184358,0.176470588,3.687150838,4.860335196,2.346368715,4.357541899,8.882681564,0,0,0.502793296,1.675977654,0.837988827,0,0.502793296,0.670391061,1.173184358,0.502793296,2.849162011,0.261421943
7885,R. Bertrand,Southampton,Defender,179,left,1620,0,4.652234637,8.196180054,6.134776536,10.39489299,0.416772554,0.006379585,0.255183413,0.094098884,0.009569378,0.357256778,0.049441786,0.003189793,0.156299841,0.033492823,0.006379585,0.329652997,0.009463722,0,0.440063091,0.004731861,0,0.208201893,0.003154574,0.004731861,0.375,0,0,0.250000001,0,0,0.625,0.125,0,1.888888889,0.055555556,1.277777778,0,0.166666667,0.222222222,0.111111111,0.111111111,0.636363636,0.090909091,0.272727273,0.261904762,0.053571429,0,0.297619048,0.023809524,0,0.208333333,0.023809524,0,0.095238095,0.023809524,0.011904762,1.222222222,4,1,1.111111111,1.222222222,0.5,4.5,11.55555556,8.888888889,10,13.16666667,0.666666667,0.611111111,2.777777778,4.611111111,1.944444444,1.222222222,1.722222222,1.555555556,2.111111111,3.222222222,3.944444444,0.40679496
7887,G. Cahill,Chelsea,Defender,193,right,850,0,6.774897681,8.618338729,12.46248295,13.62175505,0.67184466,0,0.26059322,0.262711864,0.127118644,0.203389831,0.06779661,0.042372881,0.004237288,0.006355932,0.004237288,0.407506702,0.353887399,0.045576408,0.139410188,0.050938338,0,0.002680965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423529412,0,0,0,0,1,0,0.1875,0.203125,0.046875,0.234375,0.078125,0.03125,0.125,0.046875,0,0.015625,0.015625,0.015625,3.070588235,4.552941176,0.952941176,1.058823529,0.423529412,0.638297872,6.776470588,20.54117647,22.65882353,21.49411765,15.14117647,0.529411765,0.317647059,4.129411765,2.858823529,4.447058824,2.858823529,2.435294118,1.694117647,4.447058824,3.282352941,2.329411765,0.450444291
