playerId,shortName,team,position,height,foot,minutesPlayed,goals,X_pass_mean,X_pass_std,Y_pass_mean,Y_pass_std,forward_passes,smart_passes,pass_end_z1,pass_end_z2,pass_end_z3,pass_end_z4,pass_end_z5,pass_end_z6,pass_end_z7,pass_end_z8,pass_end_z9,pass_reception_z1,pass_reception_z2,pass_reception_z3,pass_reception_z4,pass_reception_z5,pass_reception_z6,pass_reception_z7,pass_reception_z8,pass_reception_z9,dribble_z1,dribble_z2,dribble_z3,dribble_z4,dribble_z5,dribble_z6,dribble_z7,dribble_z8,dribble_z9,cross_z1,cross_z2,cross_z3,cross_z4,shot_z1,shot_z2,shot_z3,shot_z4,shot_wleft,shot_wright,shot_whead,defense_z1,defense_z2,defense_z3,defense_z4,defense_z5,defense_z6,defense_z7,defense_z8,defense_z9,defense_z10,defense_z11,defense_z12,clearances_per90,interceptions_per90,tackles_per90,loose_ball_won_per90,final_third_recovery_per90,air_success,headers_per90,ABCD,BACD,BCAD,BCDA,ABAB,BABA,ABAC,BABC,BCBA,ABCA,BACB,BCAB,ABCB,BACA,BCAC,flow_centrality
36,T. Alderweireld,Tottenham Hotspur,Defender,187,right,540,0,8.04,10.43874665,14.41818182,15.9556431,0.617948718,0,0.105571848,0.246334311,0.2228739,0.06744868,0.093841642,0.17888563,0.014662757,0.008797654,0.041055718,0,0.316546763,0.492805755,0.003597122,0.057553957,0.104316547,0.003597122,0.010791367,0.010791367,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0.333333334,0.166666667,0.166666667,0,0.25,0.5,0.25,0.11627907,0.069767442,0.255813953,0.046511628,0,0.418604651,0,0,0.093023256,0,0,0,2.5,4.666666667,0.833333333,0.833333333,0.166666667,0.321428571,5.833333333,20,22.33333333,21.16666667,15.33333333,0.833333333,0.5,5.5,3.666666667,5.5,3.166666667,2.333333333,2,4.166666667,5.333333333,2.833333333,0.458266433
38,D. Blind,0,Defender,180,left,77,0,7.31884058,7.858103262,12.53623188,14.03941899,0.75,0,0.304347826,0.086956522,0.043478261,0.304347826,0.086956522,0.02173913,0.108695652,0,0,0.487804878,0.12195122,0,0.317073171,0.048780488,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.444444444,0,0,0,0.111111111,0,0.111111111,0.111111111,0,0,2.337662338,2.337662338,1.168831169,0,1,3.506493506,12.85714286,19.87012987,26.88311688,12.85714286,0,0,7.012987013,2.337662338,4.675324675,7.012987013,3.506493506,0,3.506493506,4.675324675,0,0.394480519
45,G. van der Wiel,0,Defender,183,right,103,0,6.086419753,9.619248322,11.72839506,17.80450248,0.482142857,0,0.113636364,0.136363636,0.227272727,0.068181818,0.045454545,0.272727273,0,0.022727273,0.113636364,0,0,0.523809524,0,0.023809524,0.333333333,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,4.368932039,0,0.873786408,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0.166666667,0,0,0.166666667,2.621359223,4.368932039,0,0,0,0.5,1.747572816,11.3592233,13.10679612,12.23300971,9.611650485,0.873786408,0,6.116504854,0.873786408,4.368932039,1.747572816,0.873786408,0,0.873786408,5.242718447,0.873786408,0.411320092
48,J. Vertonghen,Tottenham Hotspur,Defender,189,left,1620,0,6.870012092,9.161621092,12.74607013,14.67472176,0.653439153,0.000993049,0.180734856,0.250248262,0.094339623,0.23733863,0.103277061,0.058589871,0.016881827,0.008937438,0.008937438,0.501362398,0.238419619,0.004087193,0.164850136,0.077656676,0,0.009536785,0.004087193,0,0.24691358,0.185185185,0,0.061728395,0,0,0.061728395,0,0,0.333333333,0,0.222222222,0,0.5,0.111111111,0.055555555,0,0.916666667,0.083333333,0,0.207792208,0.103896104,0.058441558,0.298701299,0.084415584,0.045454545,0.116883117,0.077922078,0,0,0.006493506,0,2.444444444,6.111111111,2.111111111,1.5,0.5,0.563636364,7.5,21,21.27777778,20.94444444,14.77777778,0.388888889,0.333333333,4.611111111,3.277777778,5.5,2.277777778,1.666666667,1.333333333,5.277777778,3.944444444,2.777777778,0.460692688
54,C. Eriksen,Tottenham Hotspur,Midfielder,180,right,1478,5,5.581560284,8.118137107,9.1379755,12.88981777,0.430845771,0.02676399,0.058394161,0.081508516,0.105839416,0.149635036,0.195863747,0.149635036,0.065693431,0.055961071,0.094890511,0.04859335,0.08056266,0.098465473,0.149616368,0.319693095,0.195652174,0.020460358,0.02685422,0.060102302,0,0,0.156582254,0.156582254,0,0.313164508,0.156582254,0.156582254,0,0.243572395,1.826792963,0.182679296,0.365358593,1.217861975,0.243572394,0.304465494,0.365358592,0.285714286,0.714285714,0,0.02962963,0,0.022222222,0.088888889,0.059259259,0.118518519,0.103703704,0.162962963,0.244444444,0.037037037,0.059259259,0.074074074,0.243572395,3.166441137,0.913396482,1.52232747,2.679296346,0.25,3.714479026,14.43166441,15.58863329,17.78078484,17.53721245,0.548037889,0.974289581,4.079837618,4.50608931,3.714479026,4.079837618,2.374830853,3.227334235,3.105548038,4.9932341,4.566982409,0.469034057
56,D. Klaassen,Werder Bremen,Midfielder,179,right,159,0,4.831683168,8.178104067,8.287128713,12.86416467,0.421052632,0.02,0.12,0.2,0.16,0.1,0.12,0.06,0.06,0.02,0.08,0.095238095,0.119047619,0.119047619,0.261904762,0.19047619,0.142857143,0.047619048,0.023809524,0,0,0,0.566037736,0,0,0,0,0,0,0.566037736,0,0,0,0.566037736,0,0,0,0,1,0,0.105263158,0.052631579,0.052631579,0.315789474,0.157894737,0.157894737,0.052631579,0,0.052631579,0,0,0.052631579,0,2.264150943,1.698113208,0.566037736,0.566037736,0.428571429,3.962264151,8.490566038,7.924528302,8.490566038,12.45283019,0.566037736,0,1.132075472,3.962264151,2.264150943,1.132075472,1.698113208,2.830188679,2.264150943,0.566037736,2.830188679,0.365904928
74,R. Klavan,Cagliari,Defender,187,left,900,1,6.765432099,8.635574073,14.61213992,14.81797475,0.675714286,0.006116208,0.227828746,0.278287462,0.105504587,0.214067278,0.068807339,0.039755352,0.018348624,0.001529052,0.00764526,0.550295858,0.258382643,0,0.134122288,0.047337278,0.003944773,0.003944773,0,0.001972387,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0,0.5,0.179487179,0.115384615,0.038461538,0.320512821,0.115384615,0.025641026,0.153846154,0.025641026,0,0,0.025641026,0,3,4.4,1.8,0.7,0.1,0.376811594,6.1,22.6,27.3,24.3,15.7,0.8,0.9,9.2,3.4,6.7,4,3.2,2,8.2,9,4.3,0.481900912
77,N. Moisander,Werder Bremen,Defender,183,left,1260,1,7.420377358,9.580902526,13.98415094,16.231768,0.674367437,0.002484472,0.21242236,0.211180124,0.146583851,0.182608696,0.091925466,0.063354037,0.01863354,0.026086957,0.007453416,0.562607204,0.262435678,0.001715266,0.125214408,0.046312178,0.001715266,0,0,0,0.107142857,0.214285714,0,0.107142857,0,0,0,0,0,0.357142857,0.071428571,0,0,0.071428571,0.071428571,0.142857143,0.071428571,0.2,0.4,0.4,0.102564103,0.136752137,0.025641026,0.264957265,0.179487179,0.008547009,0.11965812,0.102564103,0.025641026,0.008547009,0.017094017,0.008547009,3.142857143,6.285714286,1.785714286,1.785714286,0.857142857,0.511111111,5.5,14.85714286,16.42857143,16.21428571,11.64285714,1,1.428571429,7.285714286,2.857142857,3.857142857,2.5,1.785714286,1.857142857,4,6.214285714,2.571428571,0.465192491
91,C. Benschop,Hannover 96,Forward,191,right,151,1,2.943925234,6.848538993,3.074766355,6.545488054,0.348837209,0.03125,0.0625,0.15625,0.21875,0,0.15625,0.21875,0,0.0625,0.09375,0.032258065,0.064516129,0.387096774,0,0.193548387,0.161290323,0,0.096774194,0.064516129,0,0,0,0,0,0,0,0,0,0,0.59602649,0,0,0,1.78807947,0.59602649,0,0,0.25,0.75,0,0.058823529,0.117647059,0,0.117647059,0.470588235,0,0.058823529,0,0.058823529,0,0.117647059,1.19205298,2.98013245,1.19205298,1.19205298,0,0.416666667,5.364238411,0.59602649,3.57615894,3.57615894,2.98013245,0,0,0.59602649,0,0.59602649,0,0,0,1.19205298,0,1.19205298,0.254792454
93,J. Guomundsson,Burnley,Midfielder,186,left,1716,2,3.241349481,6.791111041,5.011245675,10.86385061,0.305882353,0.005420054,0.067750678,0.075880759,0.165311653,0.105691057,0.081300813,0.211382114,0.059620596,0.092140921,0.092140921,0.067532468,0.015584416,0.122077922,0.083116883,0.088311688,0.309090909,0.080519481,0.044155844,0.18961039,0,0,0.134032634,0.134032634,0.134032634,0.134032634,0,0,0.670163171,0.524475524,2.15034965,0.41958042,0.524475524,0.996503496,0.262237763,0.157342657,0.367132867,0.823529412,0.088235294,0.088235294,0.059602649,0.026490066,0.139072848,0.059602649,0.052980132,0.17218543,0.092715232,0.052980132,0.205298013,0.026490066,0.026490066,0.086092715,0.734265734,3.146853147,0.576923077,1.468531469,1.678321678,0.430769231,3.409090909,3.566433566,3.723776224,3.251748252,6.451048951,0.157342657,0.314685315,1.101398601,1.206293706,0.576923077,0.944055944,0.472027972,0.839160839,0.944055944,0.681818182,1.678321678,0.310634093
