playerId,shortName,team,position,height,foot,age,value,marketValue,minutesPlayed,goals,X_pass_mean,X_pass_std,Y_pass_mean,Y_pass_std,forward_passes,smart_passes,pass_end_z1,pass_end_z2,pass_end_z3,pass_end_z4,pass_end_z5,pass_end_z6,pass_end_z7,pass_end_z8,pass_end_z9,pass_reception_z1,pass_reception_z2,pass_reception_z3,pass_reception_z4,pass_reception_z5,pass_reception_z6,pass_reception_z7,pass_reception_z8,pass_reception_z9,dribble_z1,dribble_z2,dribble_z3,dribble_z4,dribble_z5,dribble_z6,dribble_z7,dribble_z8,dribble_z9,cross_z1,cross_z2,cross_z3,cross_z4,shot_z1,shot_z2,shot_z3,shot_z4,shot_wleft,shot_wright,shot_whead,defense_z1,defense_z2,defense_z3,defense_z4,defense_z5,defense_z6,defense_z7,defense_z8,defense_z9,defense_z10,defense_z11,defense_z12,clearances_per90,interceptions_per90,tackles_per90,loose_ball_won_per90,final_third_recovery_per90,air_success,headers_per90,ABCD,BACD,BCAD,BCDA,ABAB,BABA,ABAC,BABC,BCBA,ABCA,BACB,BCAB,ABCB,BACA,BCAC,flow_centrality
77558,G. Sigurosson,Everton,Midfielder,186,right,28,30000000," $30,000,000 ",2261,4,3.458974359,6.688878804,4.633333333,8.998619617,0.39031339,0.011131725,0.189239332,0.090909091,0.040816327,0.228200371,0.087198516,0.057513915,0.13729128,0.072356215,0.046382189,0.161793372,0.089668616,0.015594542,0.280701754,0.153996101,0.070175439,0.124756335,0.058479532,0.044834308,0.053073862,0,0.053073862,0.212295444,0.106147722,0.106147722,0.318443166,0.053073862,0.053073862,0.557275542,0.47766475,0.358248563,0.278637771,0.835913313,0.19902698,0.159221584,0.159221584,0.323529412,0.617647059,0.058823529,0.154440154,0.034749035,0.042471042,0.193050193,0.073359073,0.046332046,0.193050193,0.069498069,0.05019305,0.065637066,0.054054054,0.023166023,0.9553295,4.219371959,0.9553295,1.472799646,2.030075188,0.316666667,3.025210084,5.333923043,4.97567448,5.333923043,5.771782397,0.199026979,0.278637771,0.835913313,1.63202123,1.43299425,0.676691729,1.034940292,1.114551084,1.074745688,1.154356479,1.751437417,0.328169757
82340,T. Gebre Selassie,Werder Bremen,Defender,181,right,31,2500000," $2,500,000 ",2828,3,3.76847079,7.050441557,4.904639175,9.336447055,0.475915222,0.004694836,0.015258216,0.096244131,0.298122066,0.012910798,0.050469484,0.349765258,0.003521127,0.023474178,0.107981221,0.00131406,0.021024967,0.354796321,0,0.007884363,0.445466491,0,0.02890933,0.140604468,0,0.061527582,0.184582744,0,0,0.49222065,0,0,0.123055162,0,0.572842999,0,0.381895332,0.031824611,0.031824611,0.254596888,0.222772277,0.058823529,0.470588235,0.470588235,0,0.044247788,0.292035398,0.005899705,0.03539823,0.303834808,0,0.01179941,0.218289086,0,0.017699115,0.07079646,1.559405941,4.93281471,1.463932107,1.463932107,1.272984441,0.480349345,7.669731259,8.688118812,6.905940594,6.492220651,7.574257426,0.286421499,0.477369165,1.909476662,2.068599717,1.113861386,0.859264498,0.891089109,1.432107496,0.986562942,1.941301273,2.100424328,0.363461834
82487,P. Kaderabek,Hoffenheim,Defender,182,right,26,11000000," $11,000,000 ",2198,2,3.911341393,7.440483769,5.633851468,10.8594161,0.356971154,0,0.013029316,0.140065147,0.30781759,0.003257329,0.068403909,0.268729642,0.01465798,0.071661238,0.083061889,0.009259259,0.010802469,0.388888889,0.00462963,0.016975309,0.382716049,0.00462963,0.009259259,0.172839506,0,0,0,0.069293764,0,0.554350108,0,0,0.277175055,0.122838944,2.702456779,0,1.18744313,0.204731574,0,0.163785259,0.573248407,0.173913043,0.608695652,0.217391304,0.018315018,0.04029304,0.315018315,0.014652015,0.032967033,0.234432234,0.003663004,0.010989011,0.234432234,0,0.014652015,0.080586081,1.064604186,3.685168335,1.392174704,1.719745223,1.474067334,0.527777778,5.282074613,7.616014559,7.616014559,7.738853503,10.52320291,0.286624204,0.286624204,0.818926297,2.579617834,2.006369427,0.737033667,1.228389445,1.310282075,2.37488626,0.777979982,2.661510464,0.376409683
82518,V. Darida,Hertha BSC,Midfielder,171,right,27,8000000," $8,000,000 ",1632,0,5.149174917,7.837614082,9.133333333,14.16344175,0.427818757,0.015706806,0.168848168,0.117801047,0.151832461,0.113874346,0.089005236,0.183246073,0.048429319,0.02617801,0.064136126,0.120795107,0.212538226,0.128440367,0.116207951,0.114678899,0.203363914,0.029051988,0.021406728,0.05351682,0.154411765,0.154411765,0.231617647,0,0,0,0.077205882,0.077205882,0,0.386029412,0.551470588,0.110294118,0.110294118,0.9375,0.055147059,0.110294117,0.220588236,0.291666667,0.708333333,0,0.083769634,0.020942408,0.089005236,0.12565445,0.136125654,0.083769634,0.136125654,0.09947644,0.12565445,0.020942408,0.005235602,0.073298429,0.827205882,4.466911765,1.433823529,1.764705882,1.599264706,0.307692308,4.632352941,9.595588235,10.64338235,8.878676471,8.713235294,0.772058824,0.716911765,3.198529412,2.977941176,2.371323529,2.481617647,1.488970588,2.040441176,3.143382353,2.922794118,2.8125,0.470829541
83575,V. Chiriches,Napoli,Defender,184,right,28,0, $- ,583,0,7.294973545,8.65935324,14.31216931,15.38108962,0.741284404,0.001976285,0.140316206,0.223320158,0.09486166,0.158102767,0.166007905,0.138339921,0.013833992,0.001976285,0.013833992,0.112820513,0.451282051,0.18974359,0.094871795,0.105128205,0.046153846,0,0,0,0,0.154373928,0,0,0,0,0,0,0,0,0,0,0,0.308747856,0,0.154373928,0,0,0.666666667,0.333333333,0.148148148,0.074074074,0.111111111,0.222222222,0.092592593,0.148148148,0.074074074,0.037037037,0.092592593,0,0,0,1.698113208,4.476843911,1.698113208,1.54373928,0.308747856,0.448979592,6.483704974,29.48542024,32.10977702,31.02915952,21.76672384,1.234991424,0.617495712,8.953687822,4.476843911,9.10806175,5.557461407,3.859348199,3.859348199,7.409948542,8.953687822,3.550600343,0.536978657
83836,A. Maxim,Mainz 05,Midfielder,178,left,28,2000000," $2,000,000 ",959,2,3.673988439,7.315956744,6.906358382,13.17885402,0.5,0.003194888,0.115015974,0.121405751,0.118210863,0.146964856,0.115015974,0.127795527,0.089456869,0.051118211,0.073482428,0.138263666,0.112540193,0.131832797,0.221864952,0.180064309,0.07073955,0.048231511,0.045016077,0.051446945,0.250260689,0,0.125130344,0.250260689,0.250260689,0.250260689,0.125130344,0.125130344,0,0.46923879,0.093847758,0,0.093847758,1.595411888,0.281543273,0.187695516,0.375391033,0.269230769,0.653846154,0.076923077,0.102803738,0.046728972,0.037383178,0.112149533,0.065420561,0.093457944,0.140186916,0.121495327,0.112149533,0.074766355,0.037383178,0.056074766,0.375391032,2.627737226,1.220020855,1.220020855,1.876955162,0.096774194,2.721584984,5.537017727,8.164754953,7.789363921,8.164754953,0,0.281543274,2.158498436,1.032325339,1.689259645,1.689259645,0.844629823,1.220020855,1.689259645,2.346193952,1.501564129,0.375143522
85113,A. Tosca,Benevento,Defender,181,left,26,1500000," $1,500,000 ",1593,0,6.043290043,8.469328932,10.18181818,13.40279032,0.6132287,0,0.269720102,0.248091603,0.075063613,0.227735369,0.061068702,0.019083969,0.034351145,0.012722646,0.005089059,0.5953125,0.18125,0.0078125,0.153125,0.034375,0,0.025,0.0015625,0.0015625,0.127118644,0.127118644,0,0,0,0,0.127118644,0,0,0.564971751,0,0.11299435,0,0.112994351,0,0.112994351,0,0.5,0,0.5,0.333333333,0.066666667,0.04,0.273333333,0.093333333,0,0.14,0.026666667,0,0.013333333,0.013333333,0,2.372881356,4.463276836,1.129943503,2.203389831,0.451977401,0.625,4.519774011,14.23728814,14.68926554,15.25423729,12.48587571,0.564971751,0.960451977,4.745762712,3.728813559,4.124293785,2.485875706,2.485875706,2.203389831,3.559322034,4.350282486,3.502824859,0.415976796
85438,R. Beric,Saint-Etienne,Forward,188,right,27,4500000," $4,500,000 ",1044,6,1.628458498,3.88705651,2.389328063,6.682665972,0.29375,0.016806723,0.075630252,0.12605042,0.159663866,0.109243697,0.134453782,0.176470588,0.050420168,0.042016807,0.075630252,0.04375,0.04375,0.09375,0.15,0.1625,0.175,0.06875,0.18125,0.08125,0,0.172413793,0,0,0.172413793,0.172413793,0,0,0,0.086206897,0.172413793,0.172413793,0.172413793,0.431034483,0.344827586,0.517241379,0.431034483,0.15,0.75,0.1,0.02173913,0,0.02173913,0.097826087,0.065217391,0.141304348,0.152173913,0.108695652,0.119565217,0.032608696,0.119565217,0.119565217,0.172413793,1.810344828,0.689655172,1.293103448,2.068965517,0.25,3.189655172,3.879310345,1.982758621,1.724137931,3.362068966,0.172413793,0,0,1.293103448,0.517241379,0.344827586,0.344827586,0.603448276,0.431034483,0.172413793,1.120689655,0.170620998
86183,F. Roncaglia,Celta de Vigo,Defender,179,right,31,3000000," $3,000,000 ",1488,0,7.217006803,9.43667854,13.50068027,15.65296509,0.591085271,0,0.168112798,0.280911063,0.209327549,0.072668113,0.067245119,0.131236443,0.005422993,0.014099783,0.014099783,0.139945652,0.286684783,0.418478261,0.025815217,0.024456522,0.09375,0.002717391,0.005434783,0.002717391,0,0,0.181451613,0,0,0,0,0,0,0,0.302419355,0,0.060483871,0.120967742,0.060483871,0.060483871,0,0.25,0.75,0,0.074534161,0.167701863,0.173913043,0.099378882,0.086956522,0.229813665,0.01863354,0.043478261,0.093167702,0,0.01242236,0,1.935483871,5.927419355,2.782258065,1.633064516,0.423387097,0.555555556,5.201612903,17.23790323,17.72177419,18.14516129,14.51612903,1.27016129,0.786290323,7.439516129,3.14516129,3.991935484,2.782258065,2.600806452,2.298387097,4.717741935,6.955645161,2.903225806,0.455428325
86220,G. Mercado,Sevilla,Defender,180,right,31,5000000," $5,000,000 ",2125,0,5.225709113,8.315037335,7.407966204,11.28389191,0.544385027,0.002515723,0.041509434,0.238993711,0.266666667,0.021383648,0.067924528,0.242767296,0.006289308,0.013836478,0.06163522,0.003076923,0.130769231,0.498461538,0.003076923,0.04,0.238461538,0.001538462,0.009230769,0.075384615,0,0,0.063529412,0,0,0.063529412,0,0,0,0,0.889411765,0.042352941,0.211764706,0.211764706,0.127058823,0.169411765,0.084705882,0.285714286,0.214285714,0.5,0.007843137,0.109803922,0.211764706,0.023529412,0.078431373,0.352941176,0,0.031372549,0.137254902,0,0.031372549,0.015686275,1.736470588,5.76,2.456470588,1.355294118,0.847058824,0.561904762,5.378823529,10.63058824,10.29176471,11.64705882,10.84235294,0.254117647,0.296470588,2.837647059,2.498823529,2.795294118,1.524705882,1.905882353,1.355294118,2.583529412,2.922352941,2.625882353,0.364612701
